Pedal	Category	Type	Current Rating	Current Tag	New Rating	New Tag
=HYPERLINK("https://www.google.com/search?q=Line%206%20DL4%20MkII%20guitar%20pedal"; "Line 6 DL4 MkII")	delay	Digital	9	time traveler		
=HYPERLINK("https://www.google.com/search?q=Malekko%20Ekko%20616%20guitar%20pedal"; "Malekko Ekko 616")	delay	Analog	8	long term memory		
=HYPERLINK("https://www.google.com/search?q=Maxon%20AD999%20Analog%20Delay%20guitar%20pedal"; "Maxon AD999 Analog Delay")	delay	Analog	8	long term memory		
=HYPERLINK("https://www.google.com/search?q=Meris%20Polymoon%20guitar%20pedal"; "Meris Polymoon")	delay	Multi	9	time traveler		
=HYPERLINK("https://www.google.com/search?q=Mooer%20D7%20Delay%20guitar%20pedal"; "Mooer D7 Delay")	delay	Digital	9	time traveler		
=HYPERLINK("https://www.google.com/search?q=MXR%20Carbon%20Copy%20guitar%20pedal"; "MXR Carbon Copy")	delay	Analog	7	long term memory		
=HYPERLINK("https://www.google.com/search?q=MXR%20Carbon%20Copy%20Bright%20guitar%20pedal"; "MXR Carbon Copy Bright")	delay	Analog	7	long term memory		
=HYPERLINK("https://www.google.com/search?q=MXR%20Carbon%20Copy%20Deluxe%20guitar%20pedal"; "MXR Carbon Copy Deluxe")	delay	Analog	9	time traveler		
=HYPERLINK("https://www.google.com/search?q=MXR%20Carbon%20Copy%20Mini%20guitar%20pedal"; "MXR Carbon Copy Mini")	delay	Analog	5	spelunker		
=HYPERLINK("https://www.google.com/search?q=MXR%20EP103%20Echoplex%20Delay%20guitar%20pedal"; "MXR EP103 Echoplex Delay")	delay	Tape	9	time traveler		
=HYPERLINK("https://www.google.com/search?q=NUX%20Time%20Core%20Deluxe%20guitar%20pedal"; "NUX Time Core Deluxe")	delay	Digital	9	time traveler		
=HYPERLINK("https://www.google.com/search?q=Old%20Blood%20Noise%20Black%20Fountain%20V3%20guitar%20pedal"; "Old Blood Noise Black Fountain V3")	delay	Analog	8	long term memory		
=HYPERLINK("https://www.google.com/search?q=Old%20Blood%20Noise%20Visitor%20guitar%20pedal"; "Old Blood Noise Visitor")	delay	Multi	7	long term memory		
=HYPERLINK("https://www.google.com/search?q=Red%20Panda%20Particle%202%20guitar%20pedal"; "Red Panda Particle 2")	delay	Granular	9	time traveler		
=HYPERLINK("https://www.google.com/search?q=Red%20Panda%20Raster%202%20guitar%20pedal"; "Red Panda Raster 2")	delay	Pitch	9	time traveler		
=HYPERLINK("https://www.google.com/search?q=Roland%20RE-201%20Space%20Echo%20guitar%20pedal"; "Roland RE-201 Space Echo")	delay	Tape	9	time traveler		
=HYPERLINK("https://www.google.com/search?q=Seymour%20Duncan%20Vapor%20Trail%20guitar%20pedal"; "Seymour Duncan Vapor Trail")	delay	Analog	8	long term memory		
=HYPERLINK("https://www.google.com/search?q=Source%20Audio%20Nemesis%20guitar%20pedal"; "Source Audio Nemesis")	delay	Multi	9	time traveler		
=HYPERLINK("https://www.google.com/search?q=Strymon%20Dig%20guitar%20pedal"; "Strymon Dig")	delay	Digital	7	long term memory		
=HYPERLINK("https://www.google.com/search?q=Strymon%20El%20Capistan%20guitar%20pedal"; "Strymon El Capistan")	delay	Tape	9	time traveler		
=HYPERLINK("https://www.google.com/search?q=Strymon%20Timeline%20guitar%20pedal"; "Strymon Timeline")	delay	Multi	10	time traveler		
=HYPERLINK("https://www.google.com/search?q=Strymon%20Volante%20guitar%20pedal"; "Strymon Volante")	delay	Tape	10	time traveler		
=HYPERLINK("https://www.google.com/search?q=TC%20Electronic%20Alter%20Ego%202%20guitar%20pedal"; "TC Electronic Alter Ego 2")	delay	Tape	7	long term memory		
=HYPERLINK("https://www.google.com/search?q=TC%20Electronic%20EchoBrain%20guitar%20pedal"; "TC Electronic EchoBrain")	delay	Analog	5	spelunker		
=HYPERLINK("https://www.google.com/search?q=TC%20Electronic%20Flashback%202%20guitar%20pedal"; "TC Electronic Flashback 2")	delay	Digital	10	time traveler		
=HYPERLINK("https://www.google.com/search?q=TC%20Electronic%20Flashback%20Mini%20guitar%20pedal"; "TC Electronic Flashback Mini")	delay	Digital	7	long term memory		
=HYPERLINK("https://www.google.com/search?q=TC%20Electronic%20Flashback%20X4%20guitar%20pedal"; "TC Electronic Flashback X4")	delay	Digital	9	time traveler		
=HYPERLINK("https://www.google.com/search?q=Universal%20Audio%20Starlight%20Echo%20Station%20guitar%20pedal"; "Universal Audio Starlight Echo Station")	delay	Tape	9	time traveler		
=HYPERLINK("https://www.google.com/search?q=Walrus%20Audio%20ARP-87%20guitar%20pedal"; "Walrus Audio ARP-87")	delay	Multi	10	time traveler		
=HYPERLINK("https://www.google.com/search?q=Walrus%20Audio%20D1%20V2%20guitar%20pedal"; "Walrus Audio D1 V2")	delay	Digital	10	time traveler		
=HYPERLINK("https://www.google.com/search?q=Walrus%20Audio%20D1%20V2%20guitar%20pedal"; "Walrus Audio D1 V2")	delay	Digital	8	long term memory		
=HYPERLINK("https://www.google.com/search?q=Wampler%20Faux%20Tape%20Echo%20V2%20guitar%20pedal"; "Wampler Faux Tape Echo V2")	delay	Tape	9	time traveler		
=HYPERLINK("https://www.google.com/search?q=Way%20Huge%20Aqua-Puss%20guitar%20pedal"; "Way Huge Aqua-Puss")	delay	Analog	6	spelunker		
=HYPERLINK("https://www.google.com/search?q=Way%20Huge%20Supa-Puss%20guitar%20pedal"; "Way Huge Supa-Puss")	delay	Analog	10	time traveler		
=HYPERLINK("https://www.google.com/search?q=Zoom%20MS-70CDR%20guitar%20pedal"; "Zoom MS-70CDR")	delay	Digital	7	long term memory		
=HYPERLINK("https://www.google.com/search?q=Analog%20Man%20Bi-Comp%20guitar%20pedal"; "Analog Man Bi-Comp")	dynamics	Compressor	7	squashed		
=HYPERLINK("https://www.google.com/search?q=Becos%20Stella%20Compressor%20guitar%20pedal"; "Becos Stella Compressor")	dynamics	Compressor	8	squashed		
=HYPERLINK("https://www.google.com/search?q=Boss%20CP-1X%20guitar%20pedal"; "Boss CP-1X")	dynamics	Compressor	10	clamped down		
=HYPERLINK("https://www.google.com/search?q=Boss%20CS-3%20guitar%20pedal"; "Boss CS-3")	dynamics	Compressor	7	squashed		
=HYPERLINK("https://www.google.com/search?q=Boss%20CS-3%20Compression%20Sustainer%20guitar%20pedal"; "Boss CS-3 Compression Sustainer")	dynamics	Compressor	6	smooth operator		
=HYPERLINK("https://www.google.com/search?q=Boss%20LM-2%20Limiter%20guitar%20pedal"; "Boss LM-2 Limiter")	dynamics	Limiter	7	squashed		
=HYPERLINK("https://www.google.com/search?q=Boss%20NS-2%20Noise%20Suppressor%20guitar%20pedal"; "Boss NS-2 Noise Suppressor")	dynamics	Gate	8	squashed		
=HYPERLINK("https://www.google.com/search?q=Caline%20Snake%20Bite%20guitar%20pedal"; "Caline Snake Bite")	dynamics	Compressor	4	gluey		
=HYPERLINK("https://www.google.com/search?q=Dan%20Armstrong%20Orange%20Squeezer%20guitar%20pedal"; "Dan Armstrong Orange Squeezer")	dynamics	Compressor	5	smooth operator		
=HYPERLINK("https://www.google.com/search?q=Darkglass%20Hyper%20Luminal%20guitar%20pedal"; "Darkglass Hyper Luminal")	dynamics	Limiter	9	clamped down		
=HYPERLINK("https://www.google.com/search?q=Diamond%20Compressor%20guitar%20pedal"; "Diamond Compressor")	dynamics	Compressor	7	squashed		
=HYPERLINK("https://www.google.com/search?q=DOD%20280%20Compressor%20guitar%20pedal"; "DOD 280 Compressor")	dynamics	Compressor	6	smooth operator		
=HYPERLINK("https://www.google.com/search?q=Donner%20Noise%20Killer%20guitar%20pedal"; "Donner Noise Killer")	dynamics	Gate	5	smooth operator		
=HYPERLINK("https://www.google.com/search?q=Donner%20Ultimate%20Comp%20guitar%20pedal"; "Donner Ultimate Comp")	dynamics	Compressor	4	gluey		
=HYPERLINK("https://www.google.com/search?q=EarthQuaker%20Devices%20Warden%20V2%20guitar%20pedal"; "EarthQuaker Devices Warden V2")	dynamics	Compressor	10	clamped down		
=HYPERLINK("https://www.google.com/search?q=Effectrode%20PC-2A%20guitar%20pedal"; "Effectrode PC-2A")	dynamics	Compressor	9	clamped down		
=HYPERLINK("https://www.google.com/search?q=Electro-Harmonix%20Platform%20guitar%20pedal"; "Electro-Harmonix Platform")	dynamics	Limiter	7	squashed		
=HYPERLINK("https://www.google.com/search?q=Electro-Harmonix%20Silencer%20guitar%20pedal"; "Electro-Harmonix Silencer")	dynamics	Gate	8	squashed		
=HYPERLINK("https://www.google.com/search?q=Electro-Harmonix%20Soul%20Preacher%20guitar%20pedal"; "Electro-Harmonix Soul Preacher")	dynamics	Compressor	6	smooth operator		
=HYPERLINK("https://www.google.com/search?q=Empress%20Compressor%20MKII%20guitar%20pedal"; "Empress Compressor MKII")	dynamics	Compressor	9	clamped down		
=HYPERLINK("https://www.google.com/search?q=Empress%20Effects%20Compressor%20MKII%20guitar%20pedal"; "Empress Effects Compressor MKII")	dynamics	Compressor	9	clamped down		
=HYPERLINK("https://www.google.com/search?q=Fairfield%20Circuitry%20The%20Accountant%20guitar%20pedal"; "Fairfield Circuitry The Accountant")	dynamics	Compressor	9	clamped down		
=HYPERLINK("https://www.google.com/search?q=Fender%20Noise%20Gate%20guitar%20pedal"; "Fender Noise Gate")	dynamics	Gate	7	squashed		
=HYPERLINK("https://www.google.com/search?q=Fender%20The%20Bends%20guitar%20pedal"; "Fender The Bends")	dynamics	Compressor	8	squashed		
=HYPERLINK("https://www.google.com/search?q=Fortin%20Zuul%2B%20guitar%20pedal"; "Fortin Zuul+")	dynamics	Gate	9	clamped down		
=HYPERLINK("https://www.google.com/search?q=ISP%20Decimator%20II%20guitar%20pedal"; "ISP Decimator II")	dynamics	Gate	7	squashed		
=HYPERLINK("https://www.google.com/search?q=ISP%20Decimator%20II%20G%20String%20guitar%20pedal"; "ISP Decimator II G String")	dynamics	Gate	9	clamped down		
=HYPERLINK("https://www.google.com/search?q=JHS%20Whitey%20Tighty%20guitar%20pedal"; "JHS Whitey Tighty")	dynamics	Compressor	8	squashed		
=HYPERLINK("https://www.google.com/search?q=Joyo%20JF-10%20Dyna%20Compressor%20guitar%20pedal"; "Joyo JF-10 Dyna Compressor")	dynamics	Compressor	5	smooth operator		
=HYPERLINK("https://www.google.com/search?q=Joyo%20JF-31%20Noise%20Gate%20guitar%20pedal"; "Joyo JF-31 Noise Gate")	dynamics	Gate	5	smooth operator		
=HYPERLINK("https://www.google.com/search?q=Keeley%20Compressor%20Mini%20guitar%20pedal"; "Keeley Compressor Mini")	dynamics	Compressor	7	squashed		
=HYPERLINK("https://www.google.com/search?q=Keeley%20Compressor%20Plus%20guitar%20pedal"; "Keeley Compressor Plus")	dynamics	Compressor	9	clamped down		
=HYPERLINK("https://www.google.com/search?q=Mad%20Professor%20Forest%20Green%20guitar%20pedal"; "Mad Professor Forest Green")	dynamics	Compressor	10	clamped down		
=HYPERLINK("https://www.google.com/search?q=Mooer%20Noise%20Killer%20guitar%20pedal"; "Mooer Noise Killer")	dynamics	Gate	6	smooth operator		
=HYPERLINK("https://www.google.com/search?q=Mooer%20Yellow%20Comp%20guitar%20pedal"; "Mooer Yellow Comp")	dynamics	Compressor	5	smooth operator		
=HYPERLINK("https://www.google.com/search?q=MXR%20Dyna%20Comp%20guitar%20pedal"; "MXR Dyna Comp")	dynamics	Compressor	6	smooth operator		
=HYPERLINK("https://www.google.com/search?q=MXR%20Dyna%20Comp%20(Script%20Logo)%20guitar%20pedal"; "MXR Dyna Comp (Script Logo)")	dynamics	Compressor	6	smooth operator		
=HYPERLINK("https://www.google.com/search?q=MXR%20Dyna%20Comp%20Deluxe%20guitar%20pedal"; "MXR Dyna Comp Deluxe")	dynamics	Compressor	9	clamped down		
=HYPERLINK("https://www.google.com/search?q=MXR%20Smart%20Gate%20guitar%20pedal"; "MXR Smart Gate")	dynamics	Gate	8	squashed		
=HYPERLINK("https://www.google.com/search?q=Origin%20Effects%20Cali76%20Bass%20guitar%20pedal"; "Origin Effects Cali76 Bass")	dynamics	Compressor	9	clamped down		
=HYPERLINK("https://www.google.com/search?q=Origin%20Effects%20Cali76%20Compact%20Deluxe%20guitar%20pedal"; "Origin Effects Cali76 Compact Deluxe")	dynamics	Compressor	9	clamped down		
=HYPERLINK("https://www.google.com/search?q=Origin%20Effects%20Cali76%20Compact%20Deluxe%20guitar%20pedal"; "Origin Effects Cali76 Compact Deluxe")	dynamics	Compressor	9	clamped down		
=HYPERLINK("https://www.google.com/search?q=Origin%20Effects%20Cali76%20Stacked%20Edition%20guitar%20pedal"; "Origin Effects Cali76 Stacked Edition")	dynamics	Compressor	10	clamped down		
=HYPERLINK("https://www.google.com/search?q=Revv%20G8%20Noise%20Gate%20guitar%20pedal"; "Revv G8 Noise Gate")	dynamics	Gate	7	squashed		
=HYPERLINK("https://www.google.com/search?q=Rocktron%20Micro%20HUSH%20guitar%20pedal"; "Rocktron Micro HUSH")	dynamics	Gate	9	clamped down		
=HYPERLINK("https://www.google.com/search?q=Ross%20Compressor%20guitar%20pedal"; "Ross Compressor")	dynamics	Compressor	6	smooth operator		
=HYPERLINK("https://www.google.com/search?q=Seymour%20Duncan%20Vise%20Grip%20guitar%20pedal"; "Seymour Duncan Vise Grip")	dynamics	Compressor	9	clamped down		
=HYPERLINK("https://www.google.com/search?q=Source%20Audio%20Atlas%20guitar%20pedal"; "Source Audio Atlas")	dynamics	Compressor	8	squashed		
=HYPERLINK("https://www.google.com/search?q=Strymon%20Compadre%20guitar%20pedal"; "Strymon Compadre")	dynamics	Compressor	8	squashed		
=HYPERLINK("https://www.google.com/search?q=TC%20Electronic%20HyperGravity%20guitar%20pedal"; "TC Electronic HyperGravity")	dynamics	Compressor	10	clamped down		
=HYPERLINK("https://www.google.com/search?q=TC%20Electronic%20HyperGravity%20Mini%20guitar%20pedal"; "TC Electronic HyperGravity Mini")	dynamics	Compressor	8	squashed		
=HYPERLINK("https://www.google.com/search?q=TC%20Electronic%20Sentry%20Noise%20Gate%20guitar%20pedal"; "TC Electronic Sentry Noise Gate")	dynamics	Gate	10	clamped down		
=HYPERLINK("https://www.google.com/search?q=Tone%20City%20Comp%20Engine%20guitar%20pedal"; "Tone City Comp Engine")	dynamics	Compressor	6	smooth operator		
=HYPERLINK("https://www.google.com/search?q=Universal%20Audio%20LA-2A%20guitar%20pedal"; "Universal Audio LA-2A")	dynamics	Compressor	9	clamped down		
=HYPERLINK("https://www.google.com/search?q=Walrus%20Audio%20Deep%20Six%20V3%20guitar%20pedal"; "Walrus Audio Deep Six V3")	dynamics	Compressor	10	clamped down		
=HYPERLINK("https://www.google.com/search?q=Wampler%20Ego%20Compressor%20guitar%20pedal"; "Wampler Ego Compressor")	dynamics	Compressor	10	clamped down		
=HYPERLINK("https://www.google.com/search?q=Wampler%20Mini%20Ego%20guitar%20pedal"; "Wampler Mini Ego")	dynamics	Compressor	8	squashed		
=HYPERLINK("https://www.google.com/search?q=Xotic%20SP%20Compressor%20guitar%20pedal"; "Xotic SP Compressor")	dynamics	Compressor	9	clamped down		
=HYPERLINK("https://www.google.com/search?q=Aguilar%20Tone%20Hammer%20guitar%20pedal"; "Aguilar Tone Hammer")	eq	Bass Preamp	9	surgical		
=HYPERLINK("https://www.google.com/search?q=Boss%20EQ-200%20guitar%20pedal"; "Boss EQ-200")	eq	Graphic	10	surgical		
=HYPERLINK("https://www.google.com/search?q=Boss%20GE-7%20Graphic%20EQ%20guitar%20pedal"; "Boss GE-7 Graphic EQ")	eq	Graphic	7	sculptor		
=HYPERLINK("https://www.google.com/search?q=Caline%20CP-24%2010-Band%20EQ%20guitar%20pedal"; "Caline CP-24 10-Band EQ")	eq	Graphic	6	sculptor		
=HYPERLINK("https://www.google.com/search?q=Catalinbread%20Galileo%20guitar%20pedal"; "Catalinbread Galileo")	eq	Preamp	7	sculptor		
=HYPERLINK("https://www.google.com/search?q=Darkglass%20Vintage%20Ultra%20V2%20guitar%20pedal"; "Darkglass Vintage Ultra V2")	eq	Bass Preamp	9	surgical		
=HYPERLINK("https://www.google.com/search?q=DOD%20FX40B%20EQ%20guitar%20pedal"; "DOD FX40B EQ")	eq	Graphic	6	sculptor		
=HYPERLINK("https://www.google.com/search?q=Electro-Harmonix%20Knockout%20guitar%20pedal"; "Electro-Harmonix Knockout")	eq	Special	6	sculptor		
=HYPERLINK("https://www.google.com/search?q=Empress%20ParaEQ%20guitar%20pedal"; "Empress ParaEQ")	eq	Parametric	10	surgical		
